idx,a,b
111,0.7299,0.5221
112,0.0202,0.6264
113,0.7977,0.5042
114,0.8517,0.3709
115,0.7391,0.4285
121,0.4387,0.7133
122,-0.271,0.8176
123,0.5065,0.6954
124,0.5605,0.5621
125,0.4479,0.6197
131,-0.2449,1.0462
132,-0.9546,1.1505
133,-0.1771,1.0283
134,-0.1231,0.895
135,-0.2357,0.9526
211,0.1348,0.8691
212,-0.5749,0.9734
213,0.2026,0.8512
214,0.2566,0.7179
215,0.144,0.7755
221,-0.1564,1.0603
222,-0.8661,1.1646
223,-0.0886,1.0424
224,-0.0346,0.9091
225,-0.1472,0.9667
231,-0.84,1.3932
232,-1.5497,1.4975
233,-0.7722,1.3753
234,-0.7182,1.242
235,-0.8308,1.2996
311,0.1601,0.9495
312,-0.55,1.0538
313,0.2279,0.9316
314,0.2819,0.7983
315,0.1693,0.8559
321,-0.1311,1.1407
322,-0.8408,1.245
323,-0.0633,1.1228
324,-0.0093,0.9895
325,-0.1219,1.0471
331,-0.8147,1.4736
332,-1.5244,1.5779
333,-0.7469,1.4557
334,-0.6929,1.3224
335,-0.8055,1.38
